subjID,country,stimA,stimB,decision,recogA,recogB,accuracy
1,1,39,55,2,0,0,0
1,1,51,68,1,0,0,1
1,1,15,34,1,1,0,1
1,1,28,66,2,0,0,0
1,1,65,10,2,0,1,1
1,1,56,18,1,0,0,0
1,1,27,57,1,1,0,1
1,1,6,70,1,0,0,1
1,1,31,59,2,0,0,0
1,1,61,82,1,0,0,1
1,1,45,67,2,0,0,0
1,1,50,16,1,0,0,0
1,1,72,52,2,0,1,1
1,1,73,12,2,0,1,1
1,1,19,37,1,1,1,1
1,1,58,35,2,0,0,1
1,1,5,24,1,1,0,1
1,1,76,63,2,0,0,1
1,1,29,60,1,0,0,1
1,1,7,2,2,0,1,1
1,1,20,80,1,0,0,1
1,1,13,42,1,1,0,1
1,1,53,40,1,0,0,0
1,1,54,79,1,0,0,1
1,1,43,83,2,0,0,0
1,1,49,44,2,0,0,1
1,1,48,21,1,0,0,0
1,1,4,74,1,1,0,1
1,1,23,38,2,0,0,0
1,1,36,25,1,0,0,0
1,1,8,14,2,0,1,0
1,1,78,30,2,0,0,1
1,1,9,81,1,1,0,1
1,1,75,26,1,0,0,0
1,1,62,71,2,0,0,0
1,1,64,47,2,0,0,1
1,1,1,77,1,1,0,1
1,1,17,69,1,0,0,1
1,1,11,33,2,0,0,0
1,1,32,22,1,0,0,0
1,2,16,44,2,1,1,0
1,2,67,58,2,1,1,1
1,2,24,66,1,1,1,1
1,2,51,50,2,1,1,1
1,2,38,70,2,1,1,0
1,2,39,15,2,1,1,1
1,2,40,11,1,1,1,0
1,2,62,48,1,1,1,0
1,2,60,17,1,1,1,0
1,2,32,7,1,1,1,0
1,2,68,23,2,1,1,1
1,2,63,6,2,1,1,1
1,2,8,26,1,1,1,1
1,2,61,31,1,1,1,0
1,2,46,36,2,1,1,1
1,2,37,65,1,1,1,1
1,2,59,73,1,1,0,1
1,2,29,57,1,1,1,1
1,2,28,34,1,1,1,1
1,2,74,33,1,1,1,0
1,2,71,52,2,1,1,1
1,2,64,54,1,1,1,0
1,2,53,45,1,1,1,0
1,2,13,42,1,1,1,1
1,2,41,56,2,1,1,0
1,2,72,20,2,1,1,1
1,2,2,3,1,1,1,1
1,2,47,14,2,1,1,1
1,2,18,22,2,1,1,0
1,2,1,35,1,1,1,1
1,2,21,25,2,1,1,0
1,2,55,30,2,1,1,1
1,2,12,9,1,1,1,0
1,2,4,5,1,1,1,1
1,2,10,69,1,1,1,1
1,2,19,49,1,1,1,1
1,2,43,27,2,1,1,1
1,3,40,13,1,0,0,0
1,3,9,16,2,0,0,0
1,3,35,1,2,0,1,1
1,3,22,12,2,0,1,1
1,3,27,42,2,0,0,0
1,3,10,6,2,0,1,1
1,3,8,24,1,1,0,1
1,3,30,31,1,0,0,1
1,3,25,47,2,0,0,0
1,3,41,20,1,0,0,0
1,3,4,36,2,0,0,0
1,3,28,19,2,0,0,1
1,3,34,26,2,0,0,1
1,3,21,37,1,0,0,1
1,3,14,29,2,0,0,0
1,3,23,7,2,0,1,1
1,3,17,3,2,0,1,1
1,3,48,38,1,0,0,0
1,3,49,46,1,0,0,0
1,3,11,33,1,1,0,1
1,3,5,39,2,0,0,0
1,3,32,43,1,0,0,1
1,3,18,44,1,0,0,1
1,3,45,2,2,0,1,1
1,4,45,21,1,1,0,0
1,4,14,54,1,1,0,1
1,4,31,32,2,0,0,0
1,4,11,30,1,0,0,1
1,4,41,1,2,1,1,1
1,4,8,49,1,1,0,1
1,4,17,40,2,0,0,0
1,4,9,52,1,1,0,1
1,4,7,61,1,1,0,1
1,4,15,43,1,1,1,1
1,4,38,58,2,0,1,0
1,4,53,55,1,1,0,1
1,4,28,57,2,0,1,0
1,4,35,39,2,0,0,0
1,4,66,27,1,0,0,0
1,4,60,34,2,0,0,1
1,4,16,18,2,0,1,0
1,4,19,13,1,0,0,0
1,4,47,50,1,1,0,1
1,4,63,23,2,0,0,1
1,4,5,56,1,1,0,1
1,4,65,59,2,0,0,1
1,4,64,22,2,0,0,1
1,4,42,36,1,0,0,0
1,4,33,24,1,0,0,0
1,4,62,44,1,0,0,0
1,4,25,4,2,1,1,1
1,4,29,3,2,0,1,1
1,4,10,20,1,1,1,1
1,4,26,12,1,1,0,0
1,4,2,6,1,1,0,1
1,4,51,48,1,1,0,0
1,4,37,46,2,0,0,0
2,1,3,46,1,1,0,1
2,1,39,55,1,1,0,1
2,1,51,68,2,0,0,0
2,1,15,34,1,0,0,1
2,1,28,66,1,0,0,1
2,1,65,10,2,0,1,1
2,1,56,18,2,0,0,1
2,1,27,57,1,0,0,1
2,1,6,70,1,1,0,1
2,1,31,59,1,0,0,1
2,1,61,82,2,0,0,0
2,1,45,67,1,0,0,1
2,1,50,16,2,0,0,1
2,1,72,52,2,0,0,1
2,1,73,12,2,0,1,1
2,1,19,37,1,0,0,1
2,1,58,35,1,0,0,0
2,1,5,24,1,1,0,1
2,1,76,63,2,0,0,1
2,1,29,60,1,1,0,1
2,1,7,2,2,0,1,1
2,1,20,80,1,0,0,1
2,1,13,42,1,0,0,1
2,1,53,40,2,0,0,1
2,1,54,79,1,1,0,1
2,1,43,83,1,1,0,1
2,1,49,44,2,0,0,1
2,1,48,21,1,0,0,0
2,1,4,74,1,1,0,1
2,1,23,38,1,0,0,1
2,1,36,25,1,0,0,0
2,1,8,14,2,0,1,0
2,1,78,30,2,0,1,1
2,1,9,81,1,1,0,1
2,1,75,26,2,0,0,1
2,1,62,71,1,0,0,1
2,1,64,47,1,0,0,0
2,1,1,77,1,1,0,1
2,1,17,69,2,0,0,0
2,1,11,33,2,0,0,0
2,1,32,22,1,0,0,0
3,1,3,46,1,1,0,1
3,1,39,55,2,0,0,0
3,1,51,68,1,1,0,1
3,1,15,34,1,1,0,1
3,1,28,66,1,0,0,1
3,1,65,10,2,0,1,1
3,1,56,18,1,0,0,0
3,1,27,57,2,1,1,0
3,1,6,70,1,1,0,1
3,1,31,59,1,0,1,1
3,1,61,82,2,0,0,0
3,1,45,67,1,1,0,1
3,1,50,16,2,0,0,1
3,1,72,52,2,0,1,1
3,1,73,12,1,0,1,0
3,1,19,37,1,1,1,1
3,1,58,35,1,1,1,0
3,1,5,24,1,1,0,1
3,1,76,63,1,1,1,0
3,1,29,60,1,1,0,1
3,1,7,2,2,0,1,1
3,1,20,80,2,0,0,0
3,1,13,42,1,1,1,1
3,1,53,40,2,0,0,1
3,1,54,79,1,1,0,1
3,1,43,83,1,0,1,1
3,1,49,44,1,0,0,0
3,1,48,21,1,0,0,0
3,1,4,74,2,1,0,0
3,1,23,38,1,1,1,1
3,1,36,25,2,1,1,1
3,1,8,14,2,1,1,0
3,1,78,30,2,1,1,1
3,1,9,81,1,1,1,1
3,1,75,26,2,0,0,1
3,1,62,71,1,0,0,1
3,1,64,47,1,0,0,0
3,1,1,77,1,1,0,1
3,1,17,69,1,0,0,1
3,1,11,33,1,0,0,1
3,1,32,22,1,0,1,0
3,2,16,44,2,1,1,0
3,2,67,58,2,0,1,1
3,2,24,66,1,1,1,1
3,2,51,50,2,1,1,1
3,2,38,70,2,1,1,0
3,2,39,15,2,1,1,1
3,2,40,11,1,1,1,0
3,2,62,48,1,1,1,0
3,2,60,17,2,0,1,1
3,2,32,7,2,1,1,1
3,2,68,23,2,1,1,1
3,2,63,6,2,1,1,1
3,2,8,26,1,1,1,1
3,2,61,31,2,1,1,1
3,2,46,36,2,0,1,1
3,2,37,65,1,1,1,1
3,2,59,73,1,1,0,1
3,2,29,57,2,1,1,0
3,2,28,34,1,1,1,1
3,2,74,33,2,0,1,1
3,2,71,52,2,0,1,1
3,2,64,54,2,0,1,1
3,2,53,45,1,1,1,0
3,2,13,42,1,1,0,1
3,2,41,56,1,1,0,1
3,2,72,20,2,1,1,1
3,2,2,3,2,1,1,0
3,2,47,14,2,1,1,1
3,2,18,22,1,1,1,1
3,2,1,35,1,1,1,1
3,2,21,25,1,1,1,1
3,2,55,30,2,1,1,1
3,2,12,9,1,1,1,0
3,2,4,5,2,1,1,0
3,2,10,69,1,1,0,1
3,2,19,49,1,1,1,1
3,2,43,27,1,1,1,0
3,3,40,13,2,0,0,1
3,3,9,16,2,0,0,0
3,3,35,1,2,1,1,1
3,3,22,12,2,0,1,1
3,3,27,42,1,1,0,1
3,3,10,6,1,1,1,0
3,3,8,24,1,1,0,1
3,3,30,31,1,0,0,1
3,3,25,47,2,0,0,0
3,3,41,20,1,0,0,0
3,3,4,36,2,0,0,0
3,3,28,19,1,0,0,0
3,3,34,26,1,0,0,0
3,3,21,37,1,0,0,1
3,3,14,29,1,0,0,1
3,3,23,7,1,1,0,0
3,3,17,3,2,1,1,1
3,3,48,38,1,0,0,0
3,3,49,46,2,0,0,1
3,3,11,33,1,1,0,1
3,3,5,39,1,1,0,1
3,3,32,43,1,1,0,1
3,3,18,44,2,0,0,0
3,3,45,2,2,0,1,1
3,4,45,21,1,0,0,0
3,4,14,54,1,0,0,1
3,4,31,32,2,1,1,0
3,4,11,30,1,0,0,1
3,4,41,1,2,1,1,1
3,4,8,49,1,1,0,1
3,4,17,40,2,0,0,0
